"Ausgangsjahr","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Titel","Titel","Reihenfolge_Haupttitel","Haupttitel","Artikel","Tatbestand","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,111-113/116,Tötungsdelikte,43,9,34,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,114,Tötung auf Verlangen,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,115,Verleitung und Beihilfe zum Selbstmord,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,117,Fahrlässige Tötung,5,5,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,118,Strafbarer Schwangerschaftsabbruch,2,2,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,120,Übertretungen durch Ärztinnen und Ärzte,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,122,Schwere Körperverletzung,227,215,12,1348094,0.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,123,Einfache Körperverletzung,1804,1778,26,1348094,1.3
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,125,Fahrlässige Körperverletzung,137,137,0,1348094,0.1
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,126,Tätlichkeiten,2931,2931,0,1348094,2.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,127,Aussetzung,2,2,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128,Unterlassung der Nothilfe,18,18,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128bis,Falscher Alarm,10,10,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,129,Gefährdung des Lebens,139,139,0,1348094,0.1
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,133,Raufhandel,261,261,0,1348094,0.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,134,Angriff,691,691,0,1348094,0.5
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,135,Gewaltdarstellungen,22,22,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,136,Verabreichen gesundheitsgefährdender Stoffe an Kinder,14,14,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,137,Unrechtmässige Aneignung inkl. geringfügig,938,938,0,1348094,0.7
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,138,Veruntreuung inkl. geringfügig,595,592,3,1348094,0.4
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Diebstahl inkl. geringfügig,12657,12599,58,1348094,9.4
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einbruchdiebstahl,12364,8072,4292,1348094,9.2
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einschleichdiebstahl,2622,2516,106,1348094,1.9
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Entreissdiebstahl,255,243,12,1348094,0.2
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Ladendiebstahl inkl. geringfügig,2788,2760,28,1348094,2.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Taschendiebstahl,4080,4053,27,1348094,3
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Trickdiebstahl,840,815,25,1348094,0.6
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Hausgenossendiebstahl inkl. geringfügig,38,38,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Fahrzeugeinbruchdiebstahl inkl. geringfügig,4106,3273,833,1348094,3
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Fahrzeugdiebstahl,7259,7180,79,1348094,5.4
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Diebstahl ab/aus Fahrzeug inkl. geringfügig,1301,1278,23,1348094,1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,140,Raub,884,755,129,1348094,0.7
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,141,Sachentziehung inkl. geringfügig,160,158,2,1348094,0.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,141bis,Unrechtmässige Verwendung von Vermögenswerten,1,1,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,142,Unrechtmässige Entziehung von Energie,3,3,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,143,Unbefugte Datenbeschaffung,68,68,0,1348094,0.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,143bis,Unbefugtes Eindringen in ein Datenverarbeitungssystem,25,25,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Sachbeschädigung inkl. geringfügig,13129,13127,2,1348094,9.7
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Sachbeschädigung und Diebstahl,16078,16077,1,1348094,11.9
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Datenbeschädigung inkl. geringfügig,13,13,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,145,Veruntreuung und Entzug von Pfandsachen und Retentionsgegeständen,0,0,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug inkl. geringfügig,1508,1220,288,1348094,1.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Darlehensbetrug inkl. geringfügig,24,22,2,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Kreditbetrug inkl. geringfügig,5,5,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Vorschussbetrug inkl. geringfügig,2,2,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Geldwechselbetrug inkl. geringfügig,7,7,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug b. Waren inkl. geringfügig,99,93,6,1348094,0.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug beim Fahrzeugerheben,28,27,1,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Versicherungsbetrug,80,67,13,1348094,0.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Checkbetrug inkl. geringfügig,17,11,6,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Spielbetrug inkl. geringfügig,0,0,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Hotelbetrug inkl. geringfügig,15,15,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,147,Betrügerischer Missbrauch einer Datenverarbeitungsanlage inkl. geringfügig,1429,1055,374,1348094,1.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,148,Check- und Kreditkartenmissbrauch inkl. geringfügig,17,17,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,149,Zechprellerei inkl. geringfügig,61,61,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,150,Erschleichen einer Leistung,60,59,1,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,150bis,Herstellen/Inverkehrbringen von Materialien zur unbefungten Entschlüsselung codierter Angebote,2,2,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,151,Arglistige Vermögensschädigung,6,3,3,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,152,Unwahre Angaben über kaufmännische Gewerbe,1,1,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,153,Unwahre Angaben gegenüber Handelsregisterbehörden,4,4,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,155,Warenfälschung,16,16,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,156,Erpressung,71,57,14,1348094,0.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,157,Wucher,17,6,11,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,158,Ungetreue Geschäftsbesorgung inkl. geringfügig,31,31,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,159,Missbrauch Lohnabzüge inkl. geringfügig,3,3,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,160,Hehlerei inkl. geringfügig,371,370,1,1348094,0.3
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,161,Ausnützen der Kenntnis vertraulicher Tatsachen,0,0,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,161bis,Kursmanipulation,0,0,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,162,Verletzung des Fabrikations- und Geschäftsgeheimnisses,5,5,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,163,Betrügerischer Konkurs und Pfändungsbetrug,29,29,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,164,Gläubigerschädigung durch Vermögensminderung,3,3,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,165,Misswirtschaft,9,9,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,166,Unterlassung der Buchführung,12,12,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,167,Bevorzugung eines Gläubigers,2,2,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,168,Bestechung bei Zwangsvollstreckung,0,0,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,169,Verfügung über mit Beschlag belegte Vermögenswerte,28,28,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,170,Erschleichung eines gerichtlichen Nachlassvertrages,0,0,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,173,Üble Nachrede,11,11,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,174,Verleumdung,7,7,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,175,Üble Nachrede / Verleumdung Toter,0,0,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,177,Beschimpfung,22,22,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179,Verletzung Schriftgeheimnis,51,51,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179bis,Abhören und Aufnehmen fremder Gespräche,4,4,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179ter,Unbefugtes Aufnehmen von Gesprächen,9,9,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179quater,Verletzung des Geheim- und Privatbereichs durch Aufnahmegeräte,59,58,1,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179sexies,"Inverkehrbringen und Anpreisen von Abhör-, Ton- und Bildaufnahmegeräten",0,0,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179septies,Missbrauch einer Fernmeldeanlage,496,496,0,1348094,0.4
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179novies,Unbefugtes Beschaffen von Personendaten,3,3,0,1348094,0
2009,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179decies,Identitätsmissbrauch,0,0,0,1348094,0
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,180,Drohung,2064,2062,2,1348094,1.5
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,181,Nötigung,726,654,72,1348094,0.5
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,182,Menschenhandel,22,22,0,1348094,0
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,183,Freiheitsberaubung/Entführung,98,98,0,1348094,0.1
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,184,Erschwerende Umstände,0,0,0,1348094,0
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,185,Geiselnahme,0,0,0,1348094,0
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,186,Hausfriedensbruch,1125,1125,0,1348094,0.8
2009,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,186,Hausfriedensbruch und Diebstahl,13769,13755,14,1348094,10.2
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,187,Sexuelle Handlungen mit Kindern,319,311,8,1348094,0.2
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,188,Sexuelle Handlungen mit Abhängigen,3,3,0,1348094,0
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,189,Sexuelle Nötigung,209,201,8,1348094,0.2
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,190,Vergewaltigung,149,130,19,1348094,0.1
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,191,Schändung,36,36,0,1348094,0
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,192,Sexuelle Handlungen Insassen,0,0,0,1348094,0
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,193,Ausnützung der Notlage,6,6,0,1348094,0
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,194,Exhibitionismus,125,124,1,1348094,0.1
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,195,Förderung der Prostitution,33,32,1,1348094,0
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,197,Pornografie,241,240,1,1348094,0.2
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,198,Sexuelle Belästigungen,287,285,2,1348094,0.2
2009,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,199,Unzulässige Ausübung Prostitution,460,460,0,1348094,0.3
2009,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,213,Inzest,3,2,1,1348094,0
2009,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,215,Mehrfache Ehe oder eingetragene Partnerschaft,1,1,0,1348094,0
2009,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,217,Vernachlässigung von Unterhaltspflichten,57,57,0,1348094,0
2009,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,219,Verletzung der Fürsorge- / Erziehungspflicht,20,20,0,1348094,0
2009,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,220,Entziehen von Unmündigen,30,28,2,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,221,Brandstiftung,202,139,63,1348094,0.1
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,222,Fahrlässige Verursachung Feuersbrunst,73,73,0,1348094,0.1
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,223,Verursachung Explosion,8,7,1,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,224,Gefährdung durch Sprengstoffe und giftige Gase in verbrecherischer Absicht,0,0,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,225,Fahrlässige Gefährdung,106,106,0,1348094,0.1
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226,Herstellen/Verbergen/Weiterschaffen von Sprengstoff giftigen Gasen,0,0,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226bis,Gefährdung durch Kernenergie/Radioaktivität/ionisierende Strahlen,0,0,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226ter,Strafbare Vorbereitungshandlungen (gefährd. Kernenergie / Radioaktiv.),0,0,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,227,Verursachen Überschwemmung/Erdsturz,3,3,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,228,"Beschädigung von elektrischen Anlagen, Wasserbauten und Schutzvorrichtungen",0,0,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,229,Gefährdung durch Verletzung der Regeln der Baukunde,10,10,0,1348094,0
2009,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,230,Beseitigung/Nichtanbringung Sicherheitsvorrichtungen,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,230bis,Gefährdung durch gentechnisch veränderte oder pathogene Organismen,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,231,Verbreiten menschlicher Krankheiten,10,9,1,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,232,Verbreiten von Tierseuchen,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,233,Verbreiten von Schädlingen,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,234,Verunreinigung von Trinkwasser,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,235,Herstellen von gesundheitsschädlichem Futter,0,0,0,1348094,0
2009,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,236,Inverkehrbringen von gesundheitsschädlichem Futter,0,0,0,1348094,0
2009,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,237,Störung des öffentlichen Verkehrs,36,36,0,1348094,0
2009,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,238,Störung des Eisenbahnverkehrs,18,18,0,1348094,0
2009,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,239,"Störung von Betrieben, die der Allgemeinheit dienen",53,53,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,240,Geldfälschung,17,17,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,241,Geldverfälschung,0,0,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,242,In Umlaufsetzen Falschgeld,335,322,13,1348094,0.2
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,243,"Nachmachen Banknoten, Münzen, Wertzeichen",1,1,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,244,"Einführen, Erwerben, Lagern falschen Geldes",18,18,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,245,Fälschung amtlicher Wertzeichen,1,1,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,246,Fälschung amtlicher Zeichen,7,7,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,247,"Fälschungsgeräte, unrechtmässiger Gebrauch",0,0,0,1348094,0
2009,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,248,Fälschung von Mass und Gewicht,0,0,0,1348094,0
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,251,Urkundenfälschung,869,857,12,1348094,0.6
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,252,Fälschung von Ausweisen,629,629,0,1348094,0.5
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,253,Erschleichung einer falschen Beurkundung,22,16,6,1348094,0
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,254,Unterdrückung von Urkunden,5,5,0,1348094,0
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,256,Grenzverrückung,1,1,0,1348094,0
2009,311.0,StGB,11,Total Urkundenfälschung,5,Total übrige Titel StGB,257,Beseitigung von Vermessung und Wasserstandszeichen,0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,258,Schreckung der Bevölkerung,17,17,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,259,Öffentliche Aufforderung zu Vergehen mit Gewalttätigkeit oder zu Verbrechen,2,2,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260,Landfriedensbruch,90,90,0,1348094,0.1
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260bis,Strafbare Vorbereitungshandlungen,15,13,2,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260ter,Kriminelle Organisation,0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260quater,Gefährdung der öffentlichen Sicherheit mit Waffen,0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260quinquies,Finanzierung des Terrorismus,0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,260sexies,"Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat",0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,261,Störung der Glaubens- und Kultusfreiheit,0,0,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,261bis,Diskriminierung und Aufruf zu Hass,19,19,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,262,Störung des Totenfriedens,2,2,0,1348094,0
2009,311.0,StGB,12,Total gegen den öffentlichen Frieden,5,Total übrige Titel StGB,263,Verübung einer Tat in selbstverschuldeter Unzurechnungsfähigkeit,0,0,0,1348094,0
2009,311.0,StGB,12.22,Total gegen die Interessen der Völkergemeinschaft,5,Total übrige Titel StGB,264,Völkermord,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,265,Hochverrat,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,266,Angriffe auf die Unabhängigkeit der Eidgenossenschaft,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,266bis,Ausländische Unternehmungen/Bestrebungen gegen Sicherheit der Schweiz,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,267,Diplomatischer Landesverrat,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,268,Verrücken Grenzzeichen,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,269,Verletzung schweizerischer Gebietshoheit,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,270,Tätliche Angriffe auf schweizerische Hoheitszeichen,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,271,Verbotene Handlungen für einen fremden Staat,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,272,Politischer Nachrichtendienst,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,273,Wirtschaftlicher Nachrichtendienst,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,274,Militärischer Nachrichtendienst,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,275,Gefährdung der verfassungsmässigen Ordnung,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,275bis,Staatsgefährdende Propaganda,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,275ter,Rechtswidrige Vereinigung,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,276,Aufforderung und Verleitung zur Verletzung militärischer Dienstpflicht,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,277,Fälschung von Aufgeboten oder Weisungen,0,0,0,1348094,0
2009,311.0,StGB,13,Total gegen Staat und Landesverteidigung,5,Total übrige Titel StGB,278,Störung des Militärdienstes,0,0,0,1348094,0
